"filename", "language", "JSON with Comments", "TypeScript React", "TypeScript", "SVG", "JSON", "Markdown", "Ignore", "CSS", "comment", "blank", "total"
"/Users/claygiffin/Documents/@the-door/archive/blackbaudListSubscribe.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 0, 0, 3, 11, 67
"/Users/claygiffin/Documents/@the-door/archive/mailChimpSubscribe.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 31, 6, 67
"/Users/claygiffin/Documents/@the-door/package-lock.json", "JSON", 0, 0, 0, 0, 33931, 0, 0, 0, 0, 1, 33932
"/Users/claygiffin/Documents/@the-door/package.json", "JSON", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 13
"/Users/claygiffin/Documents/@the-door/packages/common/.prettierrc", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"/Users/claygiffin/Documents/@the-door/packages/common/package-future.json", "JSON", 0, 0, 0, 0, 4, 0, 0, 0, 5, 0, 9
"/Users/claygiffin/Documents/@the-door/packages/common/package.json", "JSON", 0, 0, 0, 0, 60, 0, 0, 0, 4, 0, 64
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/Accordion.tsx", "TypeScript React", 0, 66, 0, 0, 0, 0, 0, 0, 0, 6, 72
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/Accordion__Item.tsx", "TypeScript React", 0, 215, 0, 0, 0, 0, 0, 0, 0, 8, 223
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/AdvisoryMember.tsx", "TypeScript React", 0, 75, 0, 0, 0, 0, 0, 0, 0, 6, 81
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/AlertBar.tsx", "TypeScript React", 0, 152, 0, 0, 0, 0, 0, 0, 0, 9, 161
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/AnchorLink.tsx", "TypeScript React", 0, 65, 0, 0, 0, 0, 0, 0, 0, 11, 76
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/Article.tsx", "TypeScript React", 0, 327, 0, 0, 0, 0, 0, 0, 1, 6, 334
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/Article__Thumbnail.tsx", "TypeScript React", 0, 187, 0, 0, 0, 0, 0, 0, 0, 8, 195
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/BoardProfile.tsx", "TypeScript React", 0, 11, 0, 0, 0, 0, 0, 0, 7, 5, 23
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/CTABar.tsx", "TypeScript React", 0, 110, 0, 0, 0, 0, 0, 0, 0, 6, 116
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/Calendar.tsx", "TypeScript React", 0, 527, 0, 0, 0, 0, 0, 0, 0, 17, 544
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/CheckboxArrayField.tsx", "TypeScript React", 0, 79, 0, 0, 0, 0, 0, 0, 0, 11, 90
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/CheckboxField.tsx", "TypeScript React", 0, 75, 0, 0, 0, 0, 0, 0, 0, 10, 85
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/ContentBlock.tsx", "TypeScript React", 0, 434, 0, 0, 0, 0, 0, 0, 0, 16, 450
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/ContentBlock__Shape.tsx", "TypeScript React", 0, 354, 0, 0, 0, 0, 0, 0, 0, 8, 362
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/ContentCarousel.tsx", "TypeScript React", 0, 77, 0, 0, 0, 0, 0, 0, 0, 6, 83
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/ContentCarousel__Links.tsx", "TypeScript React", 0, 81, 0, 0, 0, 0, 0, 0, 0, 5, 86
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/ContentCarousel__Links__Block.tsx", "TypeScript React", 0, 163, 0, 0, 0, 0, 0, 0, 0, 6, 169
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/ContentCarousel__Media.tsx", "TypeScript React", 0, 104, 0, 0, 0, 0, 0, 0, 0, 6, 110
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/ContentCarousel__NewsEvents.tsx", "TypeScript React", 0, 137, 0, 0, 0, 0, 0, 0, 0, 6, 143
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/CornerPopup.tsx", "TypeScript React", 0, 187, 0, 0, 0, 0, 0, 0, 0, 9, 196
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/DateField.tsx", "TypeScript React", 0, 91, 0, 0, 0, 0, 0, 0, 0, 9, 100
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/DatoLink.tsx", "TypeScript React", 0, 123, 0, 0, 0, 0, 0, 0, 0, 7, 130
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/DocumentIcon.tsx", "TypeScript React", 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 30
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/DocumentLink.tsx", "TypeScript React", 0, 45, 0, 0, 0, 0, 0, 0, 0, 7, 52
